CustomerID,recency,frequency,total_spent,recency_score,frequency_score,total_spent_score,RFM_SCORE,segment
12346,-49,1,77183.6,1,1,5,11,inactive_customers
12347,-372,7,4310.000000000001,5,5,5,55,brand_ambassadors
12348,-299,4,1797.24,2,4,4,24,high_risk
12349,-356,1,1757.5500000000002,4,1,4,41,recently_onboarded
12350,-64,1,334.40000000000003,1,1,2,11,inactive_customers
12352,-338,8,2506.0400000000004,3,5,5,35,steady_supporters
12353,-170,1,89.0,1,1,1,11,inactive_customers
12354,-142,1,1079.3999999999999,1,1,4,11,inactive_customers
12355,-160,1,459.4,1,1,2,11,inactive_customers
12356,-352,3,2811.43,4,3,5,43,loyalty_potential
12357,-341,1,6207.67,3,1,5,31,slipping_away
12358,-373,2,1168.06,5,2,4,52,loyalty_potential
12359,-317,4,6310.030000000001,3,4,5,34,steady_supporters
12360,-322,3,2662.06,3,3,5,33,require_attention
12361,-87,1,189.89999999999998,1,1,1,11,inactive_customers
12362,-371,10,5226.23,5,5,5,55,brand_ambassadors
12363,-265,2,552.0,2,2,3,22,inactive_customers
12364,-367,4,1313.1000000000001,5,4,4,54,brand_ambassadors
12365,-83,2,641.3799999999999,1,2,3,12,inactive_customers
12367,-370,1,168.89999999999998,5,1,1,51,new_customers
12370,-323,4,3541.94,3,4,5,34,steady_supporters
12371,-330,2,1887.96,3,2,4,32,slipping_away
12372,-303,3,1298.0400000000002,3,3,4,33,require_attention
12373,-63,1,364.6,1,1,2,11,inactive_customers
12374,-349,1,742.93,4,1,3,41,recently_onboarded
12375,-364,2,457.5,5,2,2,52,loyalty_potential
12377,-59,2,1628.12,1,2,4,12,inactive_customers
12378,-245,1,4008.62,2,1,5,21,inactive_customers
12379,-293,2,852.24,2,2,3,22,inactive_customers
12380,-353,4,2724.8100000000004,4,4,5,44,steady_supporters
12381,-370,5,1845.3100000000004,5,4,4,54,brand_ambassadors
12383,-189,5,1850.5600000000002,1,4,4,14,high_risk
12384,-346,2,585.2700000000001,4,2,3,42,loyalty_potential
12386,-37,2,401.9,1,2,2,12,inactive_customers
12388,-359,6,2780.6600000000003,4,4,5,44,steady_supporters
12390,-295,1,549.84,2,1,3,21,inactive_customers
12391,-353,1,439.66,4,1,2,41,recently_onboarded
12393,-302,4,1582.6000000000001,2,4,4,24,high_risk
